consulta,plano,tentativa,tempo
inter_01,baseline,1,0.13639450003392994
inter_01,baseline,2,0.018354700005147606
inter_01,baseline,3,0.027913200028706342
inter_01,baseline,4,0.02113790001021698
inter_01,baseline,5,0.02225049998378381
inter_01,baseline,6,0.024807200010400265
inter_01,baseline,7,0.02694279997376725
inter_01,baseline,8,0.022365899989381433
inter_01,baseline,9,0.02943200001027435
inter_01,baseline,10,0.0220227999961935
inter_01,baseline,11,0.02693829999770969
inter_01,baseline,12,0.02501219999976456
inter_01,baseline,13,0.025930000003427267
inter_01,baseline,14,0.022882700024638325
inter_01,baseline,15,0.021442299999762326
inter_01,baseline,16,0.026025600032880902
inter_01,baseline,17,0.024247499997727573
inter_01,baseline,18,0.033081799978390336
inter_01,baseline,19,0.021961099992040545
inter_01,baseline,20,0.021396700001787394
inter_02,baseline,1,0.10304489999543875
inter_02,baseline,2,0.056286799954250455
inter_02,baseline,3,0.08021099999314174
inter_02,baseline,4,0.050194499955978245
inter_02,baseline,5,0.04766219999874011
inter_02,baseline,6,0.07836310000857338
inter_02,baseline,7,0.07041560002835467
inter_02,baseline,8,0.0931356999790296
inter_02,baseline,9,0.11831059999531135
inter_02,baseline,10,0.04457530000945553
inter_02,baseline,11,0.18453229998704046
inter_02,baseline,12,0.047222500026691705
inter_02,baseline,13,0.0513607999891974
inter_02,baseline,14,0.05078320001484826
inter_02,baseline,15,0.05228170001646504
inter_02,baseline,16,0.056160799984354526
inter_02,baseline,17,0.0449265000061132
inter_02,baseline,18,0.05395099997986108
inter_02,baseline,19,0.05334320000838488
inter_02,baseline,20,0.049689100007526577
inter_03,baseline,1,0.018659599998500198
inter_03,baseline,2,0.020005099999252707
inter_03,baseline,3,0.017062500002793968
inter_03,baseline,4,0.016801999998278916
inter_03,baseline,5,0.017211300029885024
inter_03,baseline,6,0.016498600016348064
inter_03,baseline,7,0.019071899994742125
inter_03,baseline,8,0.01575110002886504
inter_03,baseline,9,0.020085600030142814
inter_03,baseline,10,0.017190299986395985
inter_03,baseline,11,0.017349799978546798
inter_03,baseline,12,0.017566199996508658
inter_03,baseline,13,0.02199589996598661
inter_03,baseline,14,0.016707499977201223
inter_03,baseline,15,0.019812699989415705
inter_03,baseline,16,0.016734899953007698
inter_03,baseline,17,0.020753299992065877
inter_03,baseline,18,0.018695299979299307
inter_03,baseline,19,0.018735499994363636
inter_03,baseline,20,0.017351899994537234
inter_04,baseline,1,0.0412775999866426
inter_04,baseline,2,0.03617350000422448
inter_04,baseline,3,0.03484150004805997
inter_04,baseline,4,0.03404579998459667
inter_04,baseline,5,0.032991800049785525
inter_04,baseline,6,0.03270619997056201
inter_04,baseline,7,0.030733799969311804
inter_04,baseline,8,0.03794999996898696
inter_04,baseline,9,0.033573799999430776
inter_04,baseline,10,0.03660910000326112
inter_04,baseline,11,0.0346498999861069
